작성일,제목,조회수
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2025학년도 재학생의 학습역량진단검사 안내 공고,382
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-10,2026학년도 1학기 표준 현장실습학기제 학생 모집안내,500
2025-12-10,2026학년도 1학기 표준 현장실습학기제 실습기관 모집안내,456
2025-12-09,2025학년도 정기 모의토익 - 4회차 신청 안내(최종),6
2025-12-09,제13기 의약품안전지킴이 모집 안내,150
2025-12-09,국토연구원「도시재생 사례에서 배우다」 행사 안내,111
2025-12-08,[대학혁신]2025학년도 S-L Best Lecture Sharing 모집 안내,37612
2025-12-08,2025학년도 교수역량 진단검사 실시 안내,189
2025-12-08,[학술정보관]2025학년도 2학기 기말고사 기간 중 자유열람실 24시간 개방 안내,257
2025-12-08,[학술정보관] dCollection 학위논문 제출 방법 안내,228
2025-12-04,「내 안전 지키는 안심헬프미」 지원사업 안내,232
2025-12-04,서경대학교 비교과 운영 담당직원 채용 공고,486
2025-12-04,차세대 아티스트를 위한 국제 커리어 포럼 ‘비욘드 더 스테이지 2025’ 참석 안내,328
2025-12-03,2026농협장학관 생활생 모집 안내,359
2025-12-03,[대학혁신] 2025 ‘내가 추천하는 교양교과목 소개’ 수기 공모제 수상자 발표,443
2025-12-03,2026년 한국장학재단 창업기숙사 입주생 모집 안내,416
2025-12-02,2025학년도 2학기 학생 생활관 퇴실 공고,38490
2025-12-02,2025학년도 2학기 성적처리 일정안내,38131
2025-12-02,[대학혁신] 2025학년도 S-Learning Clinic 2학기  학습컨설팅 안내,266
2025-12-01,[대학혁신] 2025학년도 4ㆍ5차 S-T 교수법 특강 안내,38280
2025-12-01,26년 1차 국가장학금 신청자 대상 복지멤버십 신규 가입 이벤트 안내,433
2025-12-01,[대학혁신]2025학년도 S-L 프레젠테이션 뽐내기 수상자 발표,329
2025-12-01,(연장) [대학혁신] 'speak your heart' 학생상담센터 프로그램 체험수기 공모전,38208
2025-12-01,2025학년도 2학기 외국인유학생 미용예술대학 학위수여식 안내,267
2025-12-01,2025학년도 교수ㆍ학습지원 프로그램 수요도 및 만족도 조사 안내,1729
2025-11-28,2025년 학부 동계계절학기 등록금 납부 안내,1031
2025-11-28,[재공지] 2025학년도 2학기 면학B형 장학금 신청 안내,1392
2025-11-28,[학술정보관] SESI x 학술정보관 Winter Exhibition : Extended Library(확장된 서가),278
2025-11-28,[학생상담센터] 위기 예방교육 기간 연장 안내,784
2025-11-28,2025학년도 동계계절학기 폐강 교과목 안내,345
2025-11-28,2025학년도 2학기 서경엘리트 (국가고시) 장학금 신청 안내,1013
2025-11-28,2025학년도 동계방학 국가근로장학생  선발에 따른 교내신청 및 신청서 제출 안내 (교내행정부서 및 교외기관 등 선발),1744
2025-11-28,[학술정보관] 2025년 12월 이달의 영화 상영 안내,437
2025-11-27,[학술정보관] 2025년 12월 온라인 이용교육 및 특강 안내,248
2025-11-26,취업 후 학자금 대출 신청자 해외 이주 유학 신고 안내 (한국장학재단),237
2025-11-26,취업 후 학자금 대출 신청자 채무자 신고 안내(한국장학재단),272
2025-11-26,2025학년도 전기(2026년 2월) 조기졸업 신청 안내,341
2025-11-26,2025학년도 전기(2026년 2월) 졸업예정자 졸업요건 제출기간 연장안내,2767
2025-11-25,[성북경찰서]보이스피싱 범죄예방수칙 안내,207
2025-11-25,전기시설물 변압기 교체로 인한 단전 안내,424
2025-11-24,긴급 경제사정 곤란자에 대한 장학금 추가 지원,1116
2025-11-24,2025학년도 CEO 초청 특강 : CEO에게 듣는 취업시장의 진짜 이야기!,14641
2025-11-24,"2025 풀잎봉사단과 정릉 1동이 함께하는 학교 주변 ""담배꽁초 줍기 환경봉사"" 참여자 모집",380
2025-11-21,[대학혁신] 2025학년도 학생상담센터 '내 걱정을 부탁해' 걱정인형 만들기 집단프로그램 안내,1335
2025-11-20,[창의산학교육원] ※비교과 탐정이 되어 퀴즈 맞추고 상품 받자※ (~11/30),1110
2025-11-20,2025학년도 동문 선배 초청 멘토링(C.C.C) : 우수기업 재직중인 선배에게 취업꿀팁 얻자!,1584
2025-11-20,[대학혁신] S-L Academy 학습법 특강,281
2025-11-18,2025학년도 2학기 학사일정(학위수여식) 변경안내,994
2025-11-18,2026년 1학기 1차 국가근로장학금 학생 신청기간 안내(한국장학재단),2313
2025-11-17,2025학년도 전기(2026년 2월) 졸업예정자 부·복수·융합전공 이수 및 포기 신청 안내,1978
2025-11-17,2025학년도 동계방학 취업연계중점대학 근로학생 2차 모집안내,2134
2025-11-17,"[창의산학교육원] 11월 비교과 안내(3,4주차)",1444
2025-11-17,2025년 대학생 봉사자 연계 지역돌봄 지원사업(겨울방학) 참여대학생 모집 안내(한국농어촌희망재단),401
2025-11-14,2026년 1학기 국가장학금 1차 신청 안내,1193
2025-11-14,[대학혁신] 2025년 대학혁신지원사업 수기 공모전 개최 안내,511
2025-11-13,2025학년도 동계 계절학기 시행안내,1012
2025-11-13,[창의산학교육원] AI시대의 데이터 스토리텔링(AI 기반 데이터 스토리텔링2) / ~11/30 모집,235
2025-11-13,[창의산학교육원] 데이터가 말하는 이야기(AI 기반 데이터 스토리텔링1) / ~11/23 모집,187
2025-11-13,"[창의산학교육원] 일러스트 배우기(AI디자인 역량, 시각 소통의 기초) / ~11/30 모집",202
2025-11-13,"[창의산학교육원] 포토샵 배우기(AI디자인 역량, 시각 소통의 기초) / ~11/23 모집",179
2025-11-12,서경대학교 풀잎봉사단과 밀알복지재단이 함께하는 장애인 인식 개선 캠페인 부스 운영 봉사자 모집 안내,166
2025-11-12,학생 생활관 퇴실(환불) 안내,642
2025-11-11,2026년도 1학기 1차 주거안정장학금 신청 홍보(한국장학재단),1046
2025-11-11,2025년 2학기 거창군 지역출신 대학생 등록금 지원사업 안내,217
2025-11-11,「내 안전 지키는 안심헬프미」 지원사업,246
2025-11-06,2025년 2학기 이공대학 고위험 연구실 연구활동종사자 특수건강검진 실시 안내,597
2025-11-05,[창의산학교육원] Google AI Studio 활용 교육 (온라인 상시 진행 ~12/29),513
2025-11-05,"[창의산학교육원] 11월 비교과 안내(1,2주차)",513
2025-11-05,[대학혁신] 2025 '찾아가는 일상회복 4차' 마음건강캠페인 안내 (학생상담센터),426
2025-11-05,2025년 대학일자리플러스센터 참여자 취업역량 향상도 조사,812
2025-11-05,2026년 2월말 퇴직교원 정부포상 대상자 사전공개,233
2025-11-04,2025년 우양재단 동행 장학생 모집 협조 요청,453
2025-11-04,[대학혁신] 2025학년도 '내가 추천하는 교양 교과목 소개' 수기 공모제,1023
2025-11-04,[대학혁신] 2025학년도 대학혁신 학생기획단 모집,503
2025-11-04,[대학혁신] S-L Academy 학습법 특강,228
2025-11-04,2025년도 예비군 기본훈련 3차 일정 안내,808
2025-11-03,[대학혁신]2025학년도 S-L 프레젠테이션 뽐내기 모집 안내(연장),650
2025-11-03,[학술정보관] 제3열람실(Orange Room) 이용 중단 및 소음 발생 안내,436
2025-11-03,[대학혁신] 2025학년도 S-Learning Clinic 2학기  학습컨설팅 안내,324
2025-11-03,홈페이지 오픈에 대한 공지사항,6173
2025-11-03,2025학년도 2학기 면학B형 장학금 신청,2178
2025-11-03,2025년 인문100년 및 예술체육비전장학금 일시지원유형(1학기 지원) 선발 안내,913
2025-10-31,2025년 대학일자리플러스센터 정책 체감도 및 만족도 조사(11.3 ~ 11.16.),415
2025-10-30,[정보전산원] 리뉴얼 메인 홈페이지 오픈 안내,15378
2025-10-30,2025학년도 겨울 김장봉사 프로그램 봉사자 모집 공고,634
2025-10-30,대학원 학칙 일부개정 공포,374
2025-10-30,2025 대학혁신지원사업   참여학생 사례영상 경진대회 개최 안내,437
2025-10-29,[대학혁신] 2025학년도 대학혁신지원사업 교직원 정책 연구 공모 안내,292
2025-10-29,2025학년도 Career Challenge Campus - Basic School 안내,13732
2025-10-29,2025학년도 동계계절학기 학점교류대학 수강신청 안내(수시 업데이트),643
2025-10-29,2025학년도 Career Challenge Campus 프로그램 안내,15838
2025-10-29,2025년 2학기 안산시 대학생 본인부담 등록금 반값지원 홍보,266
2025-10-29,2025학년도 Career Challenge Campus - Job School 안내,14024
2025-10-29,2025학년도 Career Challenge Campus - Alumni School 안내,14203
2025-10-29,[학술정보관] SKUL 청춘 필사 안내,421
2025-10-29,[창의산학교육원] 비교과 의제 발굴 워크숍 진행 안내 (~10/31),227
2025-10-28,[대학혁신]2025학년도 학생상담센터 11월 집단프로그램 안내,371
2025-10-28,2025년도 통영시 저소득 대학생 장학금 지원대상자 선발 관련 홍보,310
2025-10-28,2025년 대학(원)생 지역발전 정책제안 발표대회 참가팀 모집 홍보(전북특별자치도평생교육장학진흥원),336
2025-10-28,2025년도 하반기 강화군 대학생 등록금 지원사업 홍보 요청,291
2025-10-28,2025년 하반기 (재)논산시장학회 학업장려 장학생 선발 알림 및 홍보,287
2025-10-28,[대학혁신] S-L Academy 학습법 특강,249
2025-10-27,[대학혁신] S-L Academy 학습법 특강,202
2025-10-27,5차 희망 전공 수요조사 실시 안내(최종 수요조사),3
2025-10-27,2025학년도 2학기 정기 연구실 안전교육 온라인 과정 실시 안내,365
2025-10-27,서울중구가족센터 다문화가족 행복한마당 자원봉사 안내,246
2025-10-27,[대학혁신] 2025학년도 3차 S-T 교수법 특강 안내,397
2025-10-27,[학술정보관] 2025년 11월 온라인 이용교육 및 특강 안내,417
2025-10-27,[학술정보관] 2025년 11월 이달의 영화 상영 안내,343
2025-10-23,2025학년도 2학기 학점포기 신청 안내,1440
2025-10-23,[대학혁신] 학생 참여형 혁신교양교육과정 연구회 선정 결과 발표,400
2025-10-23,2025년 2학기 안산시 대학생 본인부담 등록금 반값지원 안내,356
2025-10-23,[전체교수] 강의평가 문항 개선 관련 의견수렴,386
2025-10-22,[한국과학기술정보연구원] 2025 과학기술산업화 포럼 개최 안내,384
2025-10-22,[학생상담센터] 위기 예방교육,17086
2025-10-21,2025학년도 2학기 중간고사 및 공휴일 보강안내,481
2025-10-21,2025학년도 2학기 주거안정지원장학금 자체 선발기준 안내,297
2025-10-20,"2025학년도 정기 모의토익 - 3회차 신청 안내(미래융합 1,2 및 자유전공학부 신입생만 해당)",1
2025-10-20,대학원 학칙 일부개정안 사전 공고,263
2025-10-20,[학술정보관] 2025 고윤 작가와의 만남 신청 안내,283
2025-10-20,2025학년도 2학기 중간 강의평가 시행 안내,540
2025-10-20,2025학년도 2학기 정기모의토익 4차 실시 및 신청 안내(재학생),790
